 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  8.45E+13 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
 INITIAL MIXING RATIOS OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  21.5   1.00E-15 1.02E-16 1.02E-16 1.78E-10 2.90E-13 1.59E-12 4.41E-16 1.55E-11 2.03E-13 4.07E-13
  23.5   2.33E-15 1.78E-16 1.78E-16 1.59E-10 3.44E-13 2.09E-12 5.87E-16 2.01E-11 2.74E-13 5.48E-13
  25.5   4.90E-15 3.06E-16 3.06E-16 1.40E-10 4.24E-13 2.73E-12 8.30E-16 2.42E-11 3.34E-13 6.67E-13
  27.5   8.40E-15 4.82E-16 4.82E-16 1.21E-10 5.65E-13 3.72E-12 1.27E-15 2.74E-11 3.71E-13 7.42E-13
  29.5   1.12E-14 6.75E-16 6.75E-16 1.01E-10 8.31E-13 5.27E-12 2.15E-15 2.90E-11 3.70E-13 7.40E-13
  31.5   1.16E-14 8.53E-16 8.53E-16 8.12E-11 1.33E-12 7.38E-12 3.95E-15 2.86E-11 3.11E-13 6.22E-13
  33.5   9.65E-15 1.03E-15 1.03E-15 6.30E-11 2.21E-12 9.72E-12 7.35E-15 2.57E-11 2.09E-13 4.17E-13
  35.5   6.80E-15 1.20E-15 1.20E-15 4.72E-11 3.69E-12 1.15E-11 1.27E-14 2.06E-11 1.09E-13 2.18E-13
  37.5   4.37E-15 1.35E-15 1.35E-15 3.47E-11 5.81E-12 1.14E-11 2.00E-14 1.45E-11 4.56E-14 9.13E-14
  39.5   2.92E-15 1.55E-15 1.55E-15 2.54E-11 8.38E-12 9.39E-12 2.76E-14 8.61E-12 1.61E-14 3.23E-14
  41.5   2.21E-15 1.80E-15 1.80E-15 1.86E-11 1.07E-11 6.31E-12 3.05E-14 4.09E-12 5.22E-15 1.04E-14
  43.5   1.95E-15 2.05E-15 2.05E-15 1.38E-11 1.20E-11 3.68E-12 2.56E-14 1.56E-12 1.68E-15 3.37E-15
  45.5   1.86E-15 2.31E-15 2.31E-15 1.04E-11 1.22E-11 2.03E-12 1.73E-14 5.25E-13 5.56E-16 1.11E-15
  47.5   1.83E-15 2.59E-15 2.59E-15 7.91E-12 1.18E-11 1.13E-12 1.04E-14 1.70E-13 1.90E-16 3.79E-16
  49.5   1.75E-15 2.65E-15 2.65E-15 6.11E-12 1.11E-11 6.39E-13 6.47E-15 5.97E-14 7.20E-17 1.44E-16
  51.5   1.67E-15 2.69E-15 2.69E-15 4.78E-12 1.03E-11 3.69E-13 3.97E-15 2.21E-14 2.86E-17 5.73E-17
  53.5   1.54E-15 2.53E-15 2.53E-15 3.80E-12 9.51E-12 2.19E-13 2.62E-15 9.16E-15 1.27E-17 2.53E-17
  55.5   1.41E-15 2.32E-15 2.32E-15 3.07E-12 8.72E-12 1.35E-13 1.75E-15 4.10E-15 5.93E-18 1.19E-17
  57.5   1.31E-15 2.13E-15 2.13E-15 2.51E-12 7.97E-12 8.76E-14 1.19E-15 1.98E-15 2.96E-18 5.92E-18
  59.5   1.21E-15 1.93E-15 1.93E-15 2.06E-12 7.28E-12 6.21E-14 8.20E-16 1.06E-15 1.63E-18 3.27E-18
  61.5   1.11E-15 1.71E-15 1.71E-15 1.71E-12 6.64E-12 4.87E-14 5.79E-16 6.41E-16 1.02E-18 2.04E-18
  63.5   9.52E-16 1.23E-15 1.23E-15 1.42E-12 6.09E-12 4.35E-14 4.78E-16 4.84E-16 8.09E-19 1.62E-18
  65.5   8.54E-16 1.15E-15 1.15E-15 1.18E-12 5.63E-12 3.91E-14 3.18E-16 3.44E-16 5.55E-19 1.11E-18
  67.5   7.46E-16 9.33E-16 9.33E-16 9.71E-13 5.25E-12 3.86E-14 2.38E-16 2.70E-16 4.40E-19 8.81E-19
  69.5   6.38E-16 7.29E-16 7.29E-16 7.90E-13 4.95E-12 4.12E-14 1.90E-16 2.39E-16 3.91E-19 7.82E-19
  71.5   5.35E-16 5.55E-16 5.55E-16 6.35E-13 4.71E-12 4.54E-14 1.58E-16 2.22E-16 3.59E-19 7.19E-19
  73.5   4.32E-16 4.23E-16 4.23E-16 4.92E-13 4.51E-12 4.55E-14 1.27E-16 1.88E-16 2.90E-19 5.79E-19
  75.5   3.20E-16 3.03E-16 3.03E-16 3.55E-13 4.31E-12 3.86E-14 9.62E-17 1.36E-16 1.88E-19 3.77E-19
  77.5   2.12E-16 2.00E-16 2.00E-16 2.31E-13 4.10E-12 2.69E-14 6.68E-17 8.07E-17 9.55E-20 1.91E-19
  79.5   1.23E-16 1.20E-16 1.20E-16 1.30E-13 3.86E-12 1.74E-14 4.75E-17 4.16E-17 4.19E-20 8.38E-20
  81.5   5.56E-17 4.30E-17 4.30E-17 5.42E-14 3.58E-12 3.42E-15 1.84E-17 1.45E-17 8.59E-21 1.72E-20
